language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.358426881,-0.254414679,1,0,0,1.222,gr_flag,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,9,8.9787,0.397435309,-0.40498678,1,0,0,next_trial_button,0,11,11,37,1,landscape,invisiblesun,yesclouds,4,"669.4214876033058,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,6,5.4803,0.366716255,-0.419102937,1,0,0,next_trial_button,0,12,12,19,1,beach,visiblesun,yesclouds,2,"770.1393095093882,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,7,3.3141,0.394509621,-0.401849839,1,0,0,next_trial_button,0,13,13,67,1,beach,visiblesun,yesclouds,8,"748.1481481481482,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,6,2.0856,0.390121164,-0.427990812,1,0,0,next_trial_button,0,14,14,38,1,landscape,visiblesun,noclouds,4,"733.3333333333333,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,2,2.7668,0.390121164,-0.389302226,1,0,0,next_trial_button,0,15,15,53,1,landscape,invisiblesun,yesclouds,6,"750.0695023630803,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,5,2.7948,0.378418635,-0.444721111,1,0,0,next_trial_button,0,16,16,13,1,landscape,invisiblesun,yesclouds,1,"783.1192660550458,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,7,1.5793,0.390852549,-0.431650551,1,0,0,next_trial_button,0,17,17,63,1,landscape,visiblesun,yesclouds,7,"331.94444444444446,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,7,1.6656,0.378174865,-0.417534393,1,0,0,next_trial_button,0,18,18,24,1,beach,invisiblesun,noclouds,3,"750.089190153407,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,5,2.3852,0.388902238,-0.438970029,1,0,0,next_trial_button,0,19,19,28,1,landscape,invisiblesun,noclouds,3,"888.8888888888888,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,8,3.1691,0.395484776,-0.420671333,1,0,0,next_trial_button,0,20,20,49,1,beach,invisiblesun,yesclouds,6,"858.4474885844749,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,4,1.738,0.368178951,-0.424853871,1,0,0,next_trial_button,0,21,21,36,1,landscape,invisiblesun,noclouds,4,"281.25,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,3,1.718,0.387926935,-0.432696296,1,0,0,next_trial_button,0,22,22,73,1,beach,invisiblesun,yesclouds,9,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,4,2.5564,0.371592179,-0.425899617,1,0,0,next_trial_button,0,23,23,64,1,beach,invisiblesun,noclouds,8,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,5,1.8762,0.379881479,-0.426422415,1,0,0,next_trial_button,0,24,24,25,1,beach,invisiblesun,yesclouds,3,"750.4690431519699,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,4,1.5407,0.370129483,-0.426422415,1,0,0,next_trial_button,0,25,25,12,1,landscape,invisiblesun,noclouds,1,"666.6666666666666,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,4,1.4609,0.377931095,-0.410214915,1,0,0,next_trial_button,0,26,26,8,1,beach,invisiblesun,noclouds,1,"1215.1898734177216,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,5,3.5617,0.379881479,-0.401327041,1,0,0,next_trial_button,0,27,27,21,1,landscape,invisiblesun,yesclouds,2,"750,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,6,3.0276,0.378662554,-0.427990812,1,0,0,next_trial_button,0,28,28,76,1,landscape,invisiblesun,noclouds,9,"1056.6037735849056,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,5,6.43,0.381100479,-0.412306258,1,0,0,next_trial_button,0,29,29,2,1,beach,visiblesun,noclouds,0,"375,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,5,4.4881,0.365253337,-0.401849839,1,0,0,next_trial_button,0,30,30,3,1,beach,visiblesun,yesclouds,0,"1152.5122276567363,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,6,5.2724,0.430348517,-0.39505316,1,0,0,next_trial_button,0,31,31,32,1,beach,invisiblesun,noclouds,4,"750,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,7,2.6841,0.367447566,-0.396621704,1,0,0,next_trial_button,0,32,32,65,1,beach,invisiblesun,yesclouds,8,"750,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,8,1.6754,0.384513707,-0.381459949,1,0,0,next_trial_button,0,33,33,51,1,beach,visiblesun,yesclouds,6,"657.1279916753382,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,5,2.8882,0.36915418,-0.422239878,1,0,0,next_trial_button,0,34,34,62,1,landscape,visiblesun,noclouds,7,"417.42389822807814,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,6,1.8966,0.365253337,-0.41805734,1,0,0,next_trial_button,0,35,35,27,1,beach,visiblesun,yesclouds,3,"752.8089887640449,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,6,2.101,0.379393865,-0.431650551,1,0,0,next_trial_button,0,36,36,9,1,beach,invisiblesun,yesclouds,1,"750,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,6,1.5575,0.370860794,-0.415443198,1,0,0,next_trial_button,0,37,37,43,1,beach,visiblesun,yesclouds,5,"750,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,9,1.8273,0.387195624,-0.41126066,1,0,0,next_trial_button,0,38,38,61,1,landscape,invisiblesun,yesclouds,7,"500,500",
