language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
-0.338888889,-0.254444444,1,0,0,2.101,de_flag,de,de,de,f,24,,2021-08-23_21h32.29.628,online_experiment,2021.1.4,MacIntel,47.61904762,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",1279,734,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,de,de,de,f,24,,2021-08-23_21h32.29.628,online_experiment,2021.1.4,MacIntel,47.61904762,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",1279,734,1440,900,0.057777778,-0.434444444,1,0,0,27.403,cont_gr,2,14.405,0.42,-0.432222222,1,0,0,next_trial_button,0,0,0,4,1,landscape,invisiblesun,noclouds,0,"1276.9171185127807,500",
,,,,,,,de,de,de,f,24,,2021-08-23_21h32.29.628,online_experiment,2021.1.4,MacIntel,47.61904762,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",1279,734,1440,900,,,,,,,,3,6.047,0.335555556,-0.401111111,1,0,0,next_trial_button,0,1,1,2,1,beach,visiblesun,noclouds,0,"375,500",
,,,,,,,de,de,de,f,24,,2021-08-23_21h32.29.628,online_experiment,2021.1.4,MacIntel,47.61904762,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",1279,734,1440,900,,,,,,,,5,3.175,0.335555556,-0.383333333,1,0,0,next_trial_button,0,2,2,59,1,beach,visiblesun,yesclouds,7,"888.9689978370584,500",
,,,,,,,de,de,de,f,24,,2021-08-23_21h32.29.628,online_experiment,2021.1.4,MacIntel,47.61904762,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",1279,734,1440,900,,,,,,,,5,6.053,0.407777778,-0.441111111,1,0,0,next_trial_button,0,3,3,50,1,beach,visiblesun,noclouds,6,"666.6666666666666,500",
,,,,,,,de,de,de,f,24,,2021-08-23_21h32.29.628,online_experiment,2021.1.4,MacIntel,47.61904762,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",1279,734,1440,900,,,,,,,,5,4.391,0.427777778,-0.431111111,1,0,0,next_trial_button,0,4,4,74,1,beach,visiblesun,noclouds,9,"1028.5714285714284,500",
,,,,,,,de,de,de,f,24,,2021-08-23_21h32.29.628,online_experiment,2021.1.4,MacIntel,47.61904762,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",1279,734,1440,900,,,,,,,,6,2.479,0.364444444,-0.447777778,1,0,0,next_trial_button,0,5,5,43,1,beach,visiblesun,yesclouds,5,"750,500",
,,,,,,,de,de,de,f,24,,2021-08-23_21h32.29.628,online_experiment,2021.1.4,MacIntel,47.61904762,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",1279,734,1440,900,,,,,,,,7,3.01,0.407777778,-0.428888889,1,0,0,next_trial_button,0,6,6,27,1,beach,visiblesun,yesclouds,3,"752.8089887640449,500",
,,,,,,,de,de,de,f,24,,2021-08-23_21h32.29.628,online_experiment,2021.1.4,MacIntel,47.61904762,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",1279,734,1440,900,,,,,,,,8,3.641,0.406666667,-0.422222222,1,0,0,next_trial_button,0,7,7,24,1,beach,invisiblesun,noclouds,3,"750.089190153407,500",
,,,,,,,de,de,de,f,24,,2021-08-23_21h32.29.628,online_experiment,2021.1.4,MacIntel,47.61904762,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",1279,734,1440,900,,,,,,,,1,2.539,0.374444444,-0.403333333,1,0,0,next_trial_button,0,8,8,60,1,landscape,invisiblesun,noclouds,7,"666.7268134247564,500",
,,,,,,,de,de,de,f,24,,2021-08-23_21h32.29.628,online_experiment,2021.1.4,MacIntel,47.61904762,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",1279,734,1440,900,,,,,,,,5,5.457,0.405555556,-0.438888889,1,0,0,next_trial_button,0,9,9,46,1,landscape,visiblesun,noclouds,5,"750,500",
