language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,fbclid,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.2766765,-0.249899089,1,0,0,3.2001,gr_flag,gr,gr,gr,m,23,,2021-08-31_17h43.31.909,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1nzq3DuG0ACMPvAGveyBSH8gNKFs8lBpr0U24HSSrM3lRDw_YRoEhYFYM,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,789,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,m,23,,2021-08-31_17h43.31.909,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1nzq3DuG0ACMPvAGveyBSH8gNKFs8lBpr0U24HSSrM3lRDw_YRoEhYFYM,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,789,1440,900,,,,,,,,5,3.0451,0.312057359,-0.43249471,1,0,0,next_trial_button,0,10,10,5,1,landscape,invisiblesun,yesclouds,0,"750.4690431519699,500",
,,,,,,,gr,gr,gr,m,23,,2021-08-31_17h43.31.909,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1nzq3DuG0ACMPvAGveyBSH8gNKFs8lBpr0U24HSSrM3lRDw_YRoEhYFYM,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,789,1440,900,,,,,,,,8,1.9079,0.463869493,-0.410331014,1,0,0,next_trial_button,0,11,11,42,1,beach,visiblesun,noclouds,5,"834.4594594594595,500",
,,,,,,,gr,gr,gr,m,23,,2021-08-31_17h43.31.909,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1nzq3DuG0ACMPvAGveyBSH8gNKFs8lBpr0U24HSSrM3lRDw_YRoEhYFYM,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,789,1440,900,,,,,,,,5,3.9606,0.392897542,-0.418717312,1,0,0,next_trial_button,0,12,12,55,1,landscape,visiblesun,yesclouds,6,"749.8819083608881,500",
,,,,,,,gr,gr,gr,m,23,,2021-08-31_17h43.31.909,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1nzq3DuG0ACMPvAGveyBSH8gNKFs8lBpr0U24HSSrM3lRDw_YRoEhYFYM,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,789,1440,900,,,,,,,,8,1.9815,0.436350776,-0.414718153,1,0,0,next_trial_button,0,13,13,19,1,beach,visiblesun,yesclouds,2,"770.1393095093882,500",
,,,,,,,gr,gr,gr,m,23,,2021-08-31_17h43.31.909,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1nzq3DuG0ACMPvAGveyBSH8gNKFs8lBpr0U24HSSrM3lRDw_YRoEhYFYM,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,789,1440,900,,,,,,,,4,2.5242,0.347778049,-0.405485908,1,0,0,next_trial_button,0,14,14,78,1,landscape,visiblesun,noclouds,9,"666.6666666666666,500",
,,,,,,,gr,gr,gr,m,23,,2021-08-31_17h43.31.909,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1nzq3DuG0ACMPvAGveyBSH8gNKFs8lBpr0U24HSSrM3lRDw_YRoEhYFYM,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,789,1440,900,,,,,,,,5,8.2151,0.29514723,-0.412503594,1,0,0,next_trial_button,0,15,15,70,1,landscape,visiblesun,noclouds,8,"666.6666666666666,500",
,,,,,,,gr,gr,gr,m,23,,2021-08-31_17h43.31.909,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1nzq3DuG0ACMPvAGveyBSH8gNKFs8lBpr0U24HSSrM3lRDw_YRoEhYFYM,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,789,1440,900,,,,,,,,8,2.3241,0.352002903,-0.412418213,1,0,0,next_trial_button,0,16,16,62,1,landscape,visiblesun,noclouds,7,"417.42389822807814,500",
,,,,,,,gr,gr,gr,m,23,,2021-08-31_17h43.31.909,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1nzq3DuG0ACMPvAGveyBSH8gNKFs8lBpr0U24HSSrM3lRDw_YRoEhYFYM,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,789,1440,900,,,,,,,,8,1.9108,0.391427273,-0.418723212,1,0,0,next_trial_button,0,17,17,13,1,landscape,invisiblesun,yesclouds,1,"783.1192660550458,500",
,,,,,,,gr,gr,gr,m,23,,2021-08-31_17h43.31.909,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1nzq3DuG0ACMPvAGveyBSH8gNKFs8lBpr0U24HSSrM3lRDw_YRoEhYFYM,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,789,1440,900,,,,,,,,8,1.611,0.38125217,-0.411172824,1,0,0,next_trial_button,0,18,18,67,1,beach,visiblesun,yesclouds,8,"748.1481481481482,500",
,,,,,,,gr,gr,gr,m,23,,2021-08-31_17h43.31.909,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1nzq3DuG0ACMPvAGveyBSH8gNKFs8lBpr0U24HSSrM3lRDw_YRoEhYFYM,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,789,1440,900,,,,,,,,4,1.8928,0.52109063,-0.434636705,1,0,0,next_trial_button,0,19,19,4,1,landscape,invisiblesun,noclouds,0,"1276.9171185127807,500",
