language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,fbclid,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.296636285,-0.248849826,1,0,0,0.6383,gr_flag,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,8,63.9788,0.506384549,-0.409605035,1,0,0,next_trial_button,0,10,10,74,1,beach,visiblesun,noclouds,9,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,7,9.3988,0.459197049,-0.416310764,1,0,0,next_trial_button,0,11,11,48,1,beach,invisiblesun,noclouds,6,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,8,5.1598,0.370885417,-0.412322049,1,0,0,next_trial_button,0,12,12,11,1,beach,visiblesun,yesclouds,1,"989.8132427843803,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,6,2.9392,0.402365451,-0.411835938,1,0,0,next_trial_button,0,13,13,71,1,landscape,visiblesun,yesclouds,8,"666.6666666666666,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,7,2.0916,0.447894965,-0.433255208,1,0,0,next_trial_button,0,14,14,25,1,beach,invisiblesun,yesclouds,3,"750.4690431519699,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,8,7.2138,0.399127604,-0.442486979,1,0,0,next_trial_button,0,15,15,73,1,beach,invisiblesun,yesclouds,9,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,7,2.2216,0.371844618,-0.429739583,1,0,0,next_trial_button,0,16,16,19,1,beach,visiblesun,yesclouds,2,"770.1393095093882,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,5,8.4412,0.349210069,-0.420355903,1,0,0,next_trial_button,0,17,17,32,1,beach,invisiblesun,noclouds,4,"750,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,4,2.975,0.389756944,-0.412157118,1,0,0,next_trial_button,0,18,18,78,1,landscape,visiblesun,noclouds,9,"666.6666666666666,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,8,2.1232,0.458489583,-0.419917535,1,0,0,next_trial_button,0,19,19,75,1,beach,visiblesun,yesclouds,9,"1029.6010296010297,500",
