language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,fbclid,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.35185187,-0.237037048,1,0,0,11.9324,gr_flag,gr,gr,gr,f,20,,2021-08-25_11h14.02.806,online_experiment,2021.1.4,Win32,60.08171113,IwAR0XODgFFzx-56_FZQN_QVVo5iE6vyr3Hpqwly27Ch-nEJS--suRHHQX3Vw,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1536,722,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,f,20,,2021-08-25_11h14.02.806,online_experiment,2021.1.4,Win32,60.08171113,IwAR0XODgFFzx-56_FZQN_QVVo5iE6vyr3Hpqwly27Ch-nEJS--suRHHQX3Vw,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1536,722,1536,864,-0.021296227,-0.410185199,1,0,0,11.6999,cont_gr,3,10.6243,0.397222354,-0.402777791,1,0,0,next_trial_button,0,0,0,52,1,landscape,invisiblesun,noclouds,6,"666.6666666666666,500",
,,,,,,,gr,gr,gr,f,20,,2021-08-25_11h14.02.806,online_experiment,2021.1.4,Win32,60.08171113,IwAR0XODgFFzx-56_FZQN_QVVo5iE6vyr3Hpqwly27Ch-nEJS--suRHHQX3Vw,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1536,722,1536,864,,,,,,,,10,5.7704,0.399074093,-0.426851866,1,0,0,next_trial_button,0,1,1,14,1,landscape,visiblesun,noclouds,1,"745.9919839679359,500",
,,,,,,,gr,gr,gr,f,20,,2021-08-25_11h14.02.806,online_experiment,2021.1.4,Win32,60.08171113,IwAR0XODgFFzx-56_FZQN_QVVo5iE6vyr3Hpqwly27Ch-nEJS--suRHHQX3Vw,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1536,722,1536,864,,,,,,,,5,8.3562,0.346296428,-0.434259273,1,0,0,next_trial_button,0,2,2,24,1,beach,invisiblesun,noclouds,3,"750.089190153407,500",
,,,,,,,gr,gr,gr,f,20,,2021-08-25_11h14.02.806,online_experiment,2021.1.4,Win32,60.08171113,IwAR0XODgFFzx-56_FZQN_QVVo5iE6vyr3Hpqwly27Ch-nEJS--suRHHQX3Vw,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1536,722,1536,864,,,,,,,,3,6.6026,0.375000019,-0.439814829,1,0,0,next_trial_button,0,3,3,36,1,landscape,invisiblesun,noclouds,4,"281.25,500",
,,,,,,,gr,gr,gr,f,20,,2021-08-25_11h14.02.806,online_experiment,2021.1.4,Win32,60.08171113,IwAR0XODgFFzx-56_FZQN_QVVo5iE6vyr3Hpqwly27Ch-nEJS--suRHHQX3Vw,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1536,722,1536,864,,,,,,,,5,8.2447,0.370370389,-0.429629643,1,0,0,next_trial_button,0,4,4,49,1,beach,invisiblesun,yesclouds,6,"858.4474885844749,500",
,,,,,,,gr,gr,gr,f,20,,2021-08-25_11h14.02.806,online_experiment,2021.1.4,Win32,60.08171113,IwAR0XODgFFzx-56_FZQN_QVVo5iE6vyr3Hpqwly27Ch-nEJS--suRHHQX3Vw,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1536,722,1536,864,,,,,,,,1,8.3453,0.374074206,-0.431481495,1,0,0,next_trial_button,0,5,5,77,1,landscape,invisiblesun,yesclouds,9,"888.8888888888888,500",
,,,,,,,gr,gr,gr,f,20,,2021-08-25_11h14.02.806,online_experiment,2021.1.4,Win32,60.08171113,IwAR0XODgFFzx-56_FZQN_QVVo5iE6vyr3Hpqwly27Ch-nEJS--suRHHQX3Vw,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1536,722,1536,864,,,,,,,,6,10.9262,0.32222224,-0.414814828,1,0,0,next_trial_button,0,6,6,0,1,beach,invisiblesun,noclouds,0,"750,500",
,,,,,,,gr,gr,gr,f,20,,2021-08-25_11h14.02.806,online_experiment,2021.1.4,Win32,60.08171113,IwAR0XODgFFzx-56_FZQN_QVVo5iE6vyr3Hpqwly27Ch-nEJS--suRHHQX3Vw,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1536,722,1536,864,,,,,,,,10,5.8467,0.446296316,-0.413888959,1,0,0,next_trial_button,0,7,7,38,1,landscape,visiblesun,noclouds,4,"733.3333333333333,500",
,,,,,,,gr,gr,gr,f,20,,2021-08-25_11h14.02.806,online_experiment,2021.1.4,Win32,60.08171113,IwAR0XODgFFzx-56_FZQN_QVVo5iE6vyr3Hpqwly27Ch-nEJS--suRHHQX3Vw,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1536,722,1536,864,,,,,,,,7,3.6618,0.398148167,-0.41666668,1,0,0,next_trial_button,0,8,8,17,1,beach,invisiblesun,yesclouds,2,"684.8635235732011,500",
,,,,,,,gr,gr,gr,f,20,,2021-08-25_11h14.02.806,online_experiment,2021.1.4,Win32,60.08171113,IwAR0XODgFFzx-56_FZQN_QVVo5iE6vyr3Hpqwly27Ch-nEJS--suRHHQX3Vw,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1536,722,1536,864,,,,,,,,9,5.8058,0.419444464,-0.450000014,1,0,0,next_trial_button,0,9,9,53,1,landscape,invisiblesun,yesclouds,6,"750.0695023630803,500",
,,,,,,,gr,gr,gr,f,20,,2021-08-25_11h14.02.806,online_experiment,2021.1.4,Win32,60.08171113,IwAR0XODgFFzx-56_FZQN_QVVo5iE6vyr3Hpqwly27Ch-nEJS--suRHHQX3Vw,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1536,722,1536,864,,,,,,,,1,5.9345,0.346296428,-0.434259273,1,0,0,next_trial_button,0,10,10,63,1,landscape,visiblesun,yesclouds,7,"331.94444444444446,500",
,,,,,,,gr,gr,gr,f,20,,2021-08-25_11h14.02.806,online_experiment,2021.1.4,Win32,60.08171113,IwAR0XODgFFzx-56_FZQN_QVVo5iE6vyr3Hpqwly27Ch-nEJS--suRHHQX3Vw,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1536,722,1536,864,,,,,,,,8,9.0569,0.399074093,-0.432407478,1,0,0,next_trial_button,0,11,11,35,1,beach,visiblesun,yesclouds,4,"750,500",
,,,,,,,gr,gr,gr,f,20,,2021-08-25_11h14.02.806,online_experiment,2021.1.4,Win32,60.08171113,IwAR0XODgFFzx-56_FZQN_QVVo5iE6vyr3Hpqwly27Ch-nEJS--suRHHQX3Vw,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1536,722,1536,864,,,,,,,,3,6.3032,0.376851871,-0.441666737,1,0,0,next_trial_button,0,12,12,21,1,landscape,invisiblesun,yesclouds,2,"750,500",
,,,,,,,gr,gr,gr,f,20,,2021-08-25_11h14.02.806,online_experiment,2021.1.4,Win32,60.08171113,IwAR0XODgFFzx-56_FZQN_QVVo5iE6vyr3Hpqwly27Ch-nEJS--suRHHQX3Vw,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1536,722,1536,864,,,,,,,,6,12.8891,0.375000019,-0.439814829,1,0,0,next_trial_button,0,13,13,75,1,beach,visiblesun,yesclouds,9,"1029.6010296010297,500",
,,,,,,,gr,gr,gr,f,20,,2021-08-25_11h14.02.806,online_experiment,2021.1.4,Win32,60.08171113,IwAR0XODgFFzx-56_FZQN_QVVo5iE6vyr3Hpqwly27Ch-nEJS--suRHHQX3Vw,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1536,722,1536,864,,,,,,,,6,4.6943,0.422222242,-0.438888903,1,0,0,next_trial_button,0,14,14,18,1,beach,visiblesun,noclouds,2,"666.6666666666666,500",
