language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
-0.388888889,-0.181111111,1,0,0,1.075,de_flag,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,4,2.009,0.358888889,-0.4,1,0,0,next_trial_button,0,11,11,59,1,beach,visiblesun,yesclouds,7,"888.9689978370584,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,3,1.815,0.385555556,-0.422222222,1,0,0,next_trial_button,0,12,12,32,1,beach,invisiblesun,noclouds,4,"750,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,7,1.975,0.366666667,-0.438888889,1,0,0,next_trial_button,0,13,13,2,1,beach,visiblesun,noclouds,0,"375,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,2,2.194,0.356666667,-0.441111111,1,0,0,next_trial_button,0,14,14,76,1,landscape,invisiblesun,noclouds,9,"1056.6037735849056,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,3,2.131,0.392222222,-0.403333333,1,0,0,next_trial_button,0,15,15,63,1,landscape,visiblesun,yesclouds,7,"331.94444444444446,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,4,1.642,0.357777778,-0.395555556,1,0,0,next_trial_button,0,16,16,64,1,beach,invisiblesun,noclouds,8,"1028.5714285714284,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,6,1.649,0.443333333,-0.431111111,1,0,0,next_trial_button,0,17,17,24,1,beach,invisiblesun,noclouds,3,"750.089190153407,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,5,1.6,0.375555556,-0.442222222,1,0,0,next_trial_button,0,18,18,31,1,landscape,visiblesun,yesclouds,3,"638.0622837370242,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,3,1.947,0.398888889,-0.414444444,1,0,0,next_trial_button,0,19,19,14,1,landscape,visiblesun,noclouds,1,"745.9919839679359,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,3,2.214,0.375555556,-0.427777778,1,0,0,next_trial_button,0,20,20,0,1,beach,invisiblesun,noclouds,0,"750,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,7,1.758,0.363333333,-0.398888889,1,0,0,next_trial_button,0,21,21,27,1,beach,visiblesun,yesclouds,3,"752.8089887640449,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,1,1.815,0.376666667,-0.407777778,1,0,0,next_trial_button,0,22,22,28,1,landscape,invisiblesun,noclouds,3,"888.8888888888888,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,7,2.229,0.423333333,-0.437777778,1,0,0,next_trial_button,0,23,23,49,1,beach,invisiblesun,yesclouds,6,"858.4474885844749,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,5,1.761,0.375555556,-0.412222222,1,0,0,next_trial_button,0,24,24,73,1,beach,invisiblesun,yesclouds,9,"1028.5714285714284,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,3,1.93,0.384444444,-0.396666667,1,0,0,next_trial_button,0,25,25,71,1,landscape,visiblesun,yesclouds,8,"666.6666666666666,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,4,2.295,0.41,-0.414444444,1,0,0,next_trial_button,0,26,26,22,1,landscape,visiblesun,noclouds,2,"749.3333333333333,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,3,2.181,0.416666667,-0.405555556,1,0,0,next_trial_button,0,27,27,33,1,beach,invisiblesun,yesclouds,4,"751.5473032714411,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,4,1.865,0.386666667,-0.423333333,1,0,0,next_trial_button,0,28,28,8,1,beach,invisiblesun,noclouds,1,"1215.1898734177216,500",
