language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
-0.287573785,-0.22546875,1,0,0,0.5665,de_flag,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,0.03140191,-0.417430556,1,0,0,1.4171,cont_gr,5,2.8811,0.390460069,-0.429826389,1,0,0,next_trial_button,0,0,0,0,1,beach,invisiblesun,noclouds,0,"750,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,9,2.8299,0.390668403,-0.418155382,1,0,0,next_trial_button,0,1,1,14,1,landscape,visiblesun,noclouds,1,"745.9919839679359,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,10,1.5803,0.483806424,-0.409236111,1,0,0,next_trial_button,0,2,2,37,1,landscape,invisiblesun,yesclouds,4,"669.4214876033058,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,10,1.8976,0.532599826,-0.419947917,1,0,0,next_trial_button,0,3,3,40,1,beach,invisiblesun,noclouds,5,"1028.5714285714284,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,5,2.4808,0.504040799,-0.438012153,1,0,0,next_trial_button,0,4,4,8,1,beach,invisiblesun,noclouds,1,"1215.1898734177216,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,2,1.9892,0.514574653,-0.445555556,1,0,0,next_trial_button,0,5,5,28,1,landscape,invisiblesun,noclouds,3,"888.8888888888888,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,5,3.2602,0.420681424,-0.455577257,1,0,0,next_trial_button,0,6,6,56,1,beach,invisiblesun,noclouds,7,"1028.5714285714284,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,6,3.3983,0.446623264,-0.398828125,1,0,0,next_trial_button,0,7,7,74,1,beach,visiblesun,noclouds,9,"1028.5714285714284,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,3,2.1967,0.43671441,-0.443880208,1,0,0,next_trial_button,0,8,8,39,1,landscape,visiblesun,yesclouds,4,"749.7656982193065,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,8,1.4872,0.427248264,-0.402565104,1,0,0,next_trial_button,0,9,9,23,1,landscape,visiblesun,yesclouds,2,"767.97829036635,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,3,3.5199,0.317690972,-0.413771701,1,0,0,next_trial_button,0,10,10,13,1,landscape,invisiblesun,yesclouds,1,"783.1192660550458,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,2,1.6978,0.407894965,-0.429735243,1,0,0,next_trial_button,0,11,11,44,1,landscape,invisiblesun,noclouds,5,"666.6666666666666,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,5,2.1722,0.309006076,-0.422478299,1,0,0,next_trial_button,0,12,12,35,1,beach,visiblesun,yesclouds,4,"750,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,7,2.5307,0.38703559,-0.413181424,1,0,0,next_trial_button,0,13,13,21,1,landscape,invisiblesun,yesclouds,2,"750,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,4,1.8222,0.450668403,-0.431484375,1,0,0,next_trial_button,0,14,14,48,1,beach,invisiblesun,noclouds,6,"1028.5714285714284,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,6,1.7933,0.446124132,-0.423042535,1,0,0,next_trial_button,0,15,15,75,1,beach,visiblesun,yesclouds,9,"1029.6010296010297,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,8,1.6947,0.505303819,-0.416545139,1,0,0,next_trial_button,0,16,16,10,1,beach,visiblesun,noclouds,1,"747.0261697065821,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,10,1.8973,0.496684028,-0.444492188,1,0,0,next_trial_button,0,17,17,16,1,beach,invisiblesun,noclouds,2,"752.8089887640449,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,7,2.9984,0.359930556,-0.436050347,1,0,0,next_trial_button,0,18,18,20,1,landscape,invisiblesun,noclouds,2,"755.192878338279,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,4,1.8477,0.343459201,-0.445026042,1,0,0,next_trial_button,0,19,19,5,1,landscape,invisiblesun,yesclouds,0,"750.4690431519699,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,5,1.8258,0.409496528,-0.41983941,1,0,0,next_trial_button,0,20,20,26,1,beach,visiblesun,noclouds,3,"888.8888888888888,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,7,1.5551,0.419175347,-0.432990451,1,0,0,next_trial_button,0,21,21,70,1,landscape,visiblesun,noclouds,8,"666.6666666666666,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,9,3.3278,0.408702257,-0.421128472,1,0,0,next_trial_button,0,22,22,34,1,beach,visiblesun,noclouds,4,"749.6251874062968,500",
,,,,,,,de,de,de,m,31,,2021-08-12_17h09.50.173,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1440,676,1440,900,,,,,,,,1,2.3593,0.356241319,-0.430347222,1,0,0,next_trial_button,0,23,23,60,1,landscape,invisiblesun,noclouds,7,"666.7268134247564,500",
