language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
-0.273333333,-0.296190476,1,0,0,1.221,de_flag,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,5,4.641,0.342857143,-0.437142857,1,0,0,next_trial_button,0,11,11,49,1,beach,invisiblesun,yesclouds,6,"858.4474885844749,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,1,2.692,0.40952381,-0.403809524,1,0,0,next_trial_button,0,12,12,76,1,landscape,invisiblesun,noclouds,9,"1056.6037735849056,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,10,2.126,0.365714286,-0.406666667,1,0,0,next_trial_button,0,13,13,4,1,landscape,invisiblesun,noclouds,0,"1276.9171185127807,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,7,2.102,0.357142857,-0.434285714,1,0,0,next_trial_button,0,14,14,31,1,landscape,visiblesun,yesclouds,3,"638.0622837370242,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,10,2.128,0.368571429,-0.424761905,1,0,0,next_trial_button,0,15,15,35,1,beach,visiblesun,yesclouds,4,"750,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,8,2.164,0.311428571,-0.425714286,1,0,0,next_trial_button,0,16,16,17,1,beach,invisiblesun,yesclouds,2,"684.8635235732011,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,5,2.445,0.338095238,-0.431428571,1,0,0,next_trial_button,0,17,17,71,1,landscape,visiblesun,yesclouds,8,"666.6666666666666,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,4,3.322,0.352380952,-0.437142857,1,0,0,next_trial_button,0,18,18,0,1,beach,invisiblesun,noclouds,0,"750,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,10,2.159,0.346666667,-0.419047619,1,0,0,next_trial_button,0,19,19,63,1,landscape,visiblesun,yesclouds,7,"331.94444444444446,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,1,2.953,0.454285714,-0.423809524,1,0,0,next_trial_button,0,20,20,28,1,landscape,invisiblesun,noclouds,3,"888.8888888888888,500",
