language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
-0.297465588,-0.262309803,1,0,0,3.6735,de_flag,de,de,de,m,34,,2021-08-06_09h06.46.243,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",1680,861,1680,1050,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,de,de,de,m,34,,2021-08-06_09h06.46.243,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",1680,861,1680,1050,0.019313384,-0.406729736,1,0,0,9.1664,cont_gr,6,21.2016,0.40271217,-0.406998814,1,0,0,next_trial_button,0,0,0,10,1,beach,visiblesun,noclouds,1,"747.0261697065821,500",
,,,,,,,de,de,de,m,34,,2021-08-06_09h06.46.243,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",1680,861,1680,1050,,,,,,,,7,5.1788,0.407222959,-0.421543899,1,0,0,next_trial_button,0,1,1,79,1,landscape,visiblesun,yesclouds,9,"1028.5714285714284,500",
,,,,,,,de,de,de,m,34,,2021-08-06_09h06.46.243,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",1680,861,1680,1050,,,,,,,,7,4.4455,0.353243931,-0.418663272,1,0,0,next_trial_button,0,2,2,57,1,beach,invisiblesun,yesclouds,7,"749.707488299532,500",
,,,,,,,de,de,de,m,34,,2021-08-06_09h06.46.243,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",1680,861,1680,1050,,,,,,,,7,3.8805,0.354147833,-0.400334298,1,0,0,next_trial_button,0,3,3,61,1,landscape,invisiblesun,yesclouds,7,"500,500",
,,,,,,,de,de,de,m,34,,2021-08-06_09h06.46.243,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",1680,861,1680,1050,,,,,,,,4,4.0336,0.359207241,-0.408042515,1,0,0,next_trial_button,0,4,4,76,1,landscape,invisiblesun,noclouds,9,"1056.6037735849056,500",
,,,,,,,de,de,de,m,34,,2021-08-06_09h06.46.243,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",1680,861,1680,1050,,,,,,,,7,2.9448,0.391686547,-0.402345029,1,0,0,next_trial_button,0,5,5,65,1,beach,invisiblesun,yesclouds,8,"750,500",
,,,,,,,de,de,de,m,34,,2021-08-06_09h06.46.243,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",1680,861,1680,1050,,,,,,,,8,2.5466,0.461138858,-0.414321173,1,0,0,next_trial_button,0,6,6,41,1,beach,invisiblesun,yesclouds,5,"1248.4394506866417,500",
,,,,,,,de,de,de,m,34,,2021-08-06_09h06.46.243,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",1680,861,1680,1050,,,,,,,,6,5.4994,0.426768043,-0.427677874,1,0,0,next_trial_button,0,7,7,4,1,landscape,invisiblesun,noclouds,0,"1276.9171185127807,500",
,,,,,,,de,de,de,m,34,,2021-08-06_09h06.46.243,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",1680,861,1680,1050,,,,,,,,3,4.2106,0.401943011,-0.407492036,1,0,0,next_trial_button,0,8,8,60,1,landscape,invisiblesun,noclouds,7,"666.7268134247564,500",
,,,,,,,de,de,de,m,34,,2021-08-06_09h06.46.243,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",1680,861,1680,1050,,,,,,,,6,4.2495,0.340202637,-0.397606724,1,0,0,next_trial_button,0,9,9,12,1,landscape,invisiblesun,noclouds,1,"666.6666666666666,500",
