language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.306939019,-0.189048937,1,0,0,0.4664,gr_flag,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,10,3.734,0.404321289,-0.399161784,1,0,0,next_trial_button,0,10,10,33,1,beach,invisiblesun,yesclouds,4,"751.5473032714411,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,9,1.8326,0.390947808,-0.41101888,1,0,0,next_trial_button,0,11,11,17,1,beach,invisiblesun,yesclouds,2,"684.8635235732011,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,9,2.363,0.378483073,-0.403637695,1,0,0,next_trial_button,0,12,12,69,1,landscape,invisiblesun,yesclouds,8,"750,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,10,1.9332,0.410446506,-0.406089952,1,0,0,next_trial_button,0,13,13,37,1,landscape,invisiblesun,yesclouds,4,"669.4214876033058,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,8,1.6166,0.415793186,-0.423790148,1,0,0,next_trial_button,0,14,14,64,1,beach,invisiblesun,noclouds,8,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,10,3.401,0.357362196,-0.407310655,1,0,0,next_trial_button,0,15,15,42,1,beach,visiblesun,noclouds,5,"834.4594594594595,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,9,5.0994,0.40590549,-0.413739692,1,0,0,next_trial_button,0,16,16,57,1,beach,invisiblesun,yesclouds,7,"749.707488299532,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,9,2.1647,0.418752713,-0.425423177,1,0,0,next_trial_button,0,17,17,8,1,beach,invisiblesun,noclouds,1,"1215.1898734177216,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,4,3.4683,0.36573622,-0.394184028,1,0,0,next_trial_button,0,18,18,70,1,landscape,visiblesun,noclouds,8,"666.6666666666666,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,6,4.9661,0.347387695,-0.39730089,1,0,0,next_trial_button,0,19,19,7,1,landscape,visiblesun,yesclouds,0,"743.421052631579,500",
