language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
-0.264159226,-0.26609747,1,0,0,0.7308,de_flag,de,de,de,f,31,,2021-08-05_16h46.50.879,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",1346,850,1680,1050,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,de,de,de,f,31,,2021-08-05_16h46.50.879,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",1346,850,1680,1050,-0.049029018,-0.425558036,1,0,0,1.034,cont_gr,9,10.7397,0.36515625,-0.416886161,1,0,0,next_trial_button,0,0,0,27,1,beach,visiblesun,yesclouds,3,"752.8089887640449,500",
,,,,,,,de,de,de,f,31,,2021-08-05_16h46.50.879,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",1346,850,1680,1050,,,,,,,,9,4.5001,0.359858631,-0.415796131,1,0,0,next_trial_button,0,1,1,18,1,beach,visiblesun,noclouds,2,"666.6666666666666,500",
,,,,,,,de,de,de,f,31,,2021-08-05_16h46.50.879,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",1346,850,1680,1050,,,,,,,,9,2.1945,0.481276042,-0.421298363,1,0,0,next_trial_button,0,2,2,9,1,beach,invisiblesun,yesclouds,1,"750,500",
,,,,,,,de,de,de,f,31,,2021-08-05_16h46.50.879,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",1346,850,1680,1050,,,,,,,,3,2.1828,0.438839286,-0.39656994,1,0,0,next_trial_button,0,3,3,78,1,landscape,visiblesun,noclouds,9,"666.6666666666666,500",
,,,,,,,de,de,de,f,31,,2021-08-05_16h46.50.879,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",1346,850,1680,1050,,,,,,,,8,3.6935,0.367247024,-0.425799851,1,0,0,next_trial_button,0,4,4,67,1,beach,visiblesun,yesclouds,8,"748.1481481481482,500",
,,,,,,,de,de,de,f,31,,2021-08-05_16h46.50.879,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",1346,850,1680,1050,,,,,,,,8,1.945,0.358582589,-0.410119048,1,0,0,next_trial_button,0,5,5,65,1,beach,invisiblesun,yesclouds,8,"750,500",
,,,,,,,de,de,de,f,31,,2021-08-05_16h46.50.879,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",1346,850,1680,1050,,,,,,,,4,2.493,0.360509673,-0.384375,1,0,0,next_trial_button,0,6,6,30,1,landscape,visiblesun,noclouds,3,"346.3035019455253,500",
,,,,,,,de,de,de,f,31,,2021-08-05_16h46.50.879,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",1346,850,1680,1050,,,,,,,,6,3.7268,0.373463542,-0.383325893,1,0,0,next_trial_button,0,7,7,46,1,landscape,visiblesun,noclouds,5,"750,500",
,,,,,,,de,de,de,f,31,,2021-08-05_16h46.50.879,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",1346,850,1680,1050,,,,,,,,4,2.993,0.359918155,-0.406789435,1,0,0,next_trial_button,0,8,8,15,1,landscape,visiblesun,yesclouds,1,"333.3333333333333,500",
,,,,,,,de,de,de,f,31,,2021-08-05_16h46.50.879,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",1346,850,1680,1050,,,,,,,,7,2.2267,0.392466518,-0.410275298,1,0,0,next_trial_button,0,9,9,0,1,beach,invisiblesun,noclouds,0,"750,500",
,,,,,,,de,de,de,f,31,,2021-08-05_16h46.50.879,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",1346,850,1680,1050,,,,,,,,7,1.8647,0.42906622,-0.421741071,1,0,0,next_trial_button,0,10,10,64,1,beach,invisiblesun,noclouds,8,"1028.5714285714284,500",
,,,,,,,de,de,de,f,31,,2021-08-05_16h46.50.879,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",1346,850,1680,1050,,,,,,,,6,6.1483,0.402898065,-0.406194196,1,0,0,next_trial_button,0,11,11,25,1,beach,invisiblesun,yesclouds,3,"750.4690431519699,500",
,,,,,,,de,de,de,f,31,,2021-08-05_16h46.50.879,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",1346,850,1680,1050,,,,,,,,6,1.81,0.411886161,-0.416540179,1,0,0,next_trial_button,0,12,12,72,1,beach,invisiblesun,noclouds,9,"888.8888888888888,500",
,,,,,,,de,de,de,f,31,,2021-08-05_16h46.50.879,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",1346,850,1680,1050,,,,,,,,8,1.812,0.349516369,-0.424412202,1,0,0,next_trial_button,0,13,13,73,1,beach,invisiblesun,yesclouds,9,"1028.5714285714284,500",
,,,,,,,de,de,de,f,31,,2021-08-05_16h46.50.879,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",1346,850,1680,1050,,,,,,,,3,1.7256,0.358374256,-0.406752232,1,0,0,next_trial_button,0,14,14,77,1,landscape,invisiblesun,yesclouds,9,"888.8888888888888,500",
,,,,,,,de,de,de,f,31,,2021-08-05_16h46.50.879,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",1346,850,1680,1050,,,,,,,,7,5.8427,0.366733631,-0.44500372,1,0,0,next_trial_button,0,15,15,24,1,beach,invisiblesun,noclouds,3,"750.089190153407,500",
,,,,,,,de,de,de,f,31,,2021-08-05_16h46.50.879,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",1346,850,1680,1050,,,,,,,,1,2.0734,0.37014881,-0.41328125,1,0,0,next_trial_button,0,16,16,29,1,landscape,invisiblesun,yesclouds,3,"749.8660953401178,500",
,,,,,,,de,de,de,f,31,,2021-08-05_16h46.50.879,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",1346,850,1680,1050,,,,,,,,3,2.7114,0.359806548,-0.415420387,1,0,0,next_trial_button,0,17,17,21,1,landscape,invisiblesun,yesclouds,2,"750,500",
,,,,,,,de,de,de,f,31,,2021-08-05_16h46.50.879,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",1346,850,1680,1050,,,,,,,,7,1.71,0.361484375,-0.439546131,1,0,0,next_trial_button,0,18,18,43,1,beach,visiblesun,yesclouds,5,"750,500",
,,,,,,,de,de,de,f,31,,2021-08-05_16h46.50.879,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36",1346,850,1680,1050,,,,,,,,3,2.3269,0.411458333,-0.401443452,1,0,0,next_trial_button,0,19,19,54,1,landscape,visiblesun,noclouds,6,"695.0043821209465,500",
