language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
-0.292899306,-0.215989583,1,0,0,1.8672,de_flag,de,de,de,f,24,,2021-08-05_17h00.13.085,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",1440,690,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,de,de,de,f,24,,2021-08-05_17h00.13.085,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",1440,690,1440,900,-0.035707465,-0.427699653,1,0,0,10.6197,cont_gr,7,3.5231,0.4284375,-0.442491319,1,0,0,next_trial_button,0,0,0,45,1,landscape,invisiblesun,yesclouds,5,"749.6251874062968,500",
,,,,,,,de,de,de,f,24,,2021-08-05_17h00.13.085,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",1440,690,1440,900,,,,,,,,2,2.4249,0.337296007,-0.4409375,1,0,0,next_trial_button,0,1,1,76,1,landscape,invisiblesun,noclouds,9,"1056.6037735849056,500",
,,,,,,,de,de,de,f,24,,2021-08-05_17h00.13.085,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",1440,690,1440,900,,,,,,,,4,4.4645,0.465520833,-0.415690104,1,0,0,next_trial_button,0,2,2,47,1,landscape,visiblesun,yesclouds,5,"666.6666666666666,500",
,,,,,,,de,de,de,f,24,,2021-08-05_17h00.13.085,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",1440,690,1440,900,,,,,,,,5,3.9776,0.333081597,-0.428146701,1,0,0,next_trial_button,0,3,3,51,1,beach,visiblesun,yesclouds,6,"657.1279916753382,500",
,,,,,,,de,de,de,f,24,,2021-08-05_17h00.13.085,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",1440,690,1440,900,,,,,,,,8,2.0789,0.357547743,-0.416957465,1,0,0,next_trial_button,0,4,4,1,1,beach,invisiblesun,yesclouds,0,"666.6666666666666,500",
,,,,,,,de,de,de,f,24,,2021-08-05_17h00.13.085,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",1440,690,1440,900,,,,,,,,4,2.2627,0.336901042,-0.406610243,1,0,0,next_trial_button,0,5,5,67,1,beach,visiblesun,yesclouds,8,"748.1481481481482,500",
,,,,,,,de,de,de,f,24,,2021-08-05_17h00.13.085,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",1440,690,1440,900,,,,,,,,6,2.3145,0.435694444,-0.451966146,1,0,0,next_trial_button,0,6,6,59,1,beach,visiblesun,yesclouds,7,"888.9689978370584,500",
,,,,,,,de,de,de,f,24,,2021-08-05_17h00.13.085,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",1440,690,1440,900,,,,,,,,3,3.9681,0.357721354,-0.395399306,1,0,0,next_trial_button,0,7,7,19,1,beach,visiblesun,yesclouds,2,"770.1393095093882,500",
,,,,,,,de,de,de,f,24,,2021-08-05_17h00.13.085,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",1440,690,1440,900,,,,,,,,2,1.9949,0.408142361,-0.407873264,1,0,0,next_trial_button,0,8,8,23,1,landscape,visiblesun,yesclouds,2,"767.97829036635,500",
,,,,,,,de,de,de,f,24,,2021-08-05_17h00.13.085,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",1440,690,1440,900,,,,,,,,4,1.9636,0.399809028,-0.431766493,1,0,0,next_trial_button,0,9,9,29,1,landscape,invisiblesun,yesclouds,3,"749.8660953401178,500",
