language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
-0.292139544,-0.224102238,1,0,0,1.4504,de_flag,de,de,de,m,44,,2021-08-05_16h53.19.307,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1792,870,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,de,de,de,m,44,,2021-08-05_16h53.19.307,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1792,870,1792,1120,,,,,,,,6,3.7916,0.396181706,-0.413704136,1,0,0,next_trial_button,0,10,10,43,1,beach,visiblesun,yesclouds,5,"750,500",
,,,,,,,de,de,de,m,44,,2021-08-05_16h53.19.307,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1792,870,1792,1120,,,,,,,,6,3.7948,0.384369441,-0.416157314,1,0,0,next_trial_button,0,11,11,35,1,beach,visiblesun,yesclouds,4,"750,500",
,,,,,,,de,de,de,m,44,,2021-08-05_16h53.19.307,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1792,870,1792,1120,,,,,,,,5,3.0419,0.396493094,-0.437198857,1,0,0,next_trial_button,0,12,12,7,1,landscape,visiblesun,yesclouds,0,"743.421052631579,500",
,,,,,,,de,de,de,m,44,,2021-08-05_16h53.19.307,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1792,870,1792,1120,,,,,,,,5,2.8738,0.426531001,-0.413828714,1,0,0,next_trial_button,0,13,13,5,1,landscape,invisiblesun,yesclouds,0,"750.4690431519699,500",
,,,,,,,de,de,de,m,44,,2021-08-05_16h53.19.307,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1792,870,1792,1120,,,,,,,,5,6.0834,0.459079088,-0.414042773,1,0,0,next_trial_button,0,14,14,13,1,landscape,invisiblesun,yesclouds,1,"783.1192660550458,500",
,,,,,,,de,de,de,m,44,,2021-08-05_16h53.19.307,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1792,870,1792,1120,,,,,,,,5,7.049,0.342115348,-0.421656363,1,0,0,next_trial_button,0,15,15,70,1,landscape,visiblesun,noclouds,8,"666.6666666666666,500",
,,,,,,,de,de,de,m,44,,2021-08-05_16h53.19.307,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1792,870,1792,1120,,,,,,,,7,5.9575,0.476572091,-0.413878632,1,0,0,next_trial_button,0,16,16,33,1,beach,invisiblesun,yesclouds,4,"751.5473032714411,500",
,,,,,,,de,de,de,m,44,,2021-08-05_16h53.19.307,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1792,870,1792,1120,,,,,,,,5,3.3079,0.464450291,-0.418284716,1,0,0,next_trial_button,0,17,17,8,1,beach,invisiblesun,noclouds,1,"1215.1898734177216,500",
,,,,,,,de,de,de,m,44,,2021-08-05_16h53.19.307,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1792,870,1792,1120,,,,,,,,7,4.0501,0.434829276,-0.4076428,1,0,0,next_trial_button,0,18,18,65,1,beach,invisiblesun,yesclouds,8,"750,500",
,,,,,,,de,de,de,m,44,,2021-08-05_16h53.19.307,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",1792,870,1792,1120,,,,,,,,6,3.5075,0.371783883,-0.401447732,1,0,0,next_trial_button,0,19,19,15,1,landscape,visiblesun,yesclouds,1,"333.3333333333333,500",
