language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
-0.31526001,-0.29221483,1,0,0,1.4667,de_flag,de,de,de,f,24,,2021-08-09_14h41.38.464,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",1440,789,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,de,de,de,f,24,,2021-08-09_14h41.38.464,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",1440,789,1440,900,,,,,,,,4,2.7469,0.422232395,-0.427371487,1,0,0,next_trial_button,0,11,11,54,1,landscape,visiblesun,noclouds,6,"695.0043821209465,500",
,,,,,,,de,de,de,f,24,,2021-08-09_14h41.38.464,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",1440,789,1440,900,,,,,,,,3,2.0167,0.453120524,-0.429221734,1,0,0,next_trial_button,0,12,12,4,1,landscape,invisiblesun,noclouds,0,"1276.9171185127807,500",
,,,,,,,de,de,de,f,24,,2021-08-09_14h41.38.464,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",1440,789,1440,900,,,,,,,,6,4.8624,0.298626845,-0.411832411,1,0,0,next_trial_button,0,13,13,15,1,landscape,visiblesun,yesclouds,1,"333.3333333333333,500",
,,,,,,,de,de,de,f,24,,2021-08-09_14h41.38.464,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",1440,789,1440,900,,,,,,,,3,2.6948,0.320681017,-0.426820407,1,0,0,next_trial_button,0,14,14,56,1,beach,invisiblesun,noclouds,7,"1028.5714285714284,500",
,,,,,,,de,de,de,f,24,,2021-08-09_14h41.38.464,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",1440,789,1440,900,,,,,,,,6,2.1285,0.387461344,-0.430579427,1,0,0,next_trial_button,0,15,15,33,1,beach,invisiblesun,yesclouds,4,"751.5473032714411,500",
,,,,,,,de,de,de,f,24,,2021-08-09_14h41.38.464,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",1440,789,1440,900,,,,,,,,8,3.7806,0.470053982,-0.406108941,1,0,0,next_trial_button,0,16,16,45,1,landscape,invisiblesun,yesclouds,5,"749.6251874062968,500",
,,,,,,,de,de,de,f,24,,2021-08-09_14h41.38.464,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",1440,789,1440,900,,,,,,,,4,2.5638,0.415532769,-0.425427721,1,0,0,next_trial_button,0,17,17,53,1,landscape,invisiblesun,yesclouds,6,"750.0695023630803,500",
,,,,,,,de,de,de,f,24,,2021-08-09_14h41.38.464,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",1440,789,1440,900,,,,,,,,3,5.0646,0.329571533,-0.405872599,1,0,0,next_trial_button,0,18,18,24,1,beach,invisiblesun,noclouds,3,"750.089190153407,500",
,,,,,,,de,de,de,f,24,,2021-08-09_14h41.38.464,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",1440,789,1440,900,,,,,,,,5,2.2776,0.318732096,-0.406887817,1,0,0,next_trial_button,0,19,19,50,1,beach,visiblesun,noclouds,6,"666.6666666666666,500",
,,,,,,,de,de,de,f,24,,2021-08-09_14h41.38.464,online_experiment,2021.1.4,MacIntel,60.0024001,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",1440,789,1440,900,,,,,,,,3,2.1454,0.306443617,-0.404506497,1,0,0,next_trial_button,0,20,20,55,1,landscape,visiblesun,yesclouds,6,"749.8819083608881,500",
