language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
-0.44,-0.256666667,1,0,0,1.218,de_flag,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,6,2.826,0.404444444,-0.407777778,1,0,0,next_trial_button,0,11,11,1,1,beach,invisiblesun,yesclouds,0,"666.6666666666666,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,7,1.892,0.372222222,-0.425555556,1,0,0,next_trial_button,0,12,12,65,1,beach,invisiblesun,yesclouds,8,"750,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,7,1.475,0.306666667,-0.41,1,0,0,next_trial_button,0,13,13,24,1,beach,invisiblesun,noclouds,3,"750.089190153407,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,7,1.829,0.43,-0.41,1,0,0,next_trial_button,0,14,14,41,1,beach,invisiblesun,yesclouds,5,"1248.4394506866417,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,6,2.046,0.328888889,-0.423333333,1,0,0,next_trial_button,0,15,15,74,1,beach,visiblesun,noclouds,9,"1028.5714285714284,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,5,2.462,0.473333333,-0.4,1,0,0,next_trial_button,0,16,16,22,1,landscape,visiblesun,noclouds,2,"749.3333333333333,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,2,2.361,0.446666667,-0.421111111,1,0,0,next_trial_button,0,17,17,36,1,landscape,invisiblesun,noclouds,4,"281.25,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,1,3.077,0.534444444,-0.422222222,1,0,0,next_trial_button,0,18,18,79,1,landscape,visiblesun,yesclouds,9,"1028.5714285714284,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,2,3.037,0.414444444,-0.422222222,1,0,0,next_trial_button,0,19,19,52,1,landscape,invisiblesun,noclouds,6,"666.6666666666666,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,2,1.565,0.306666667,-0.415555556,1,0,0,next_trial_button,0,20,20,63,1,landscape,visiblesun,yesclouds,7,"331.94444444444446,500",
