language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,fbclid,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.29,-0.228888889,1,0,0,1.226,gr_flag,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,9,2.081,0.37,-0.392222222,1,0,0,next_trial_button,0,10,10,3,1,beach,visiblesun,yesclouds,0,"1152.5122276567363,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,10,1.533,0.316666667,-0.416666667,1,0,0,next_trial_button,0,11,11,35,1,beach,visiblesun,yesclouds,4,"750,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,10,1.671,0.441111111,-0.412222222,1,0,0,next_trial_button,0,12,12,46,1,landscape,visiblesun,noclouds,5,"750,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,10,1.919,0.454444444,-0.422222222,1,0,0,next_trial_button,0,13,13,1,1,beach,invisiblesun,yesclouds,0,"666.6666666666666,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,8,3.101,0.305555556,-0.425555556,1,0,0,next_trial_button,0,14,14,71,1,landscape,visiblesun,yesclouds,8,"666.6666666666666,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,10,1.744,0.387777778,-0.432222222,1,0,0,next_trial_button,0,15,15,22,1,landscape,visiblesun,noclouds,2,"749.3333333333333,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,9,1.863,0.431111111,-0.423333333,1,0,0,next_trial_button,0,16,16,15,1,landscape,visiblesun,yesclouds,1,"333.3333333333333,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,9,2.213,0.4,-0.417777778,1,0,0,next_trial_button,0,17,17,65,1,beach,invisiblesun,yesclouds,8,"750,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,8,2.688,0.44,-0.407777778,1,0,0,next_trial_button,0,18,18,8,1,beach,invisiblesun,noclouds,1,"1215.1898734177216,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,10,4.963,0.407777778,-0.422222222,1,0,0,next_trial_button,0,19,19,20,1,landscape,invisiblesun,noclouds,2,"755.192878338279,500",
