language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.352777778,-0.243518519,1,0,0,2.423,gr_flag,gr,gr,gr,m,22,,2021-09-01_14h15.42.756,online_experiment,2021.1.4,Win32,59.95203837,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0,1920,955,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,m,22,,2021-09-01_14h15.42.756,online_experiment,2021.1.4,Win32,59.95203837,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0,1920,955,1920,1080,0.007407407,-0.414814815,1,0,0,44.631,cont_gr,7,5.464,0.383333333,-0.414814815,1,0,0,next_trial_button,0,0,0,10,1,beach,visiblesun,noclouds,1,"747.0261697065821,500",
,,,,,,,gr,gr,gr,m,22,,2021-09-01_14h15.42.756,online_experiment,2021.1.4,Win32,59.95203837,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0,1920,955,1920,1080,,,,,,,,8,2.938,0.385185185,-0.424074074,1,0,0,next_trial_button,0,1,1,45,1,landscape,invisiblesun,yesclouds,5,"749.6251874062968,500",
,,,,,,,gr,gr,gr,m,22,,2021-09-01_14h15.42.756,online_experiment,2021.1.4,Win32,59.95203837,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0,1920,955,1920,1080,,,,,,,,6,5.913,0.377777778,-0.417592593,1,0,0,next_trial_button,0,2,2,69,1,landscape,invisiblesun,yesclouds,8,"750,500",
,,,,,,,gr,gr,gr,m,22,,2021-09-01_14h15.42.756,online_experiment,2021.1.4,Win32,59.95203837,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0,1920,955,1920,1080,,,,,,,,2,2.382,0.457407407,-0.406481481,1,0,0,next_trial_button,0,3,3,21,1,landscape,invisiblesun,yesclouds,2,"750,500",
,,,,,,,gr,gr,gr,m,22,,2021-09-01_14h15.42.756,online_experiment,2021.1.4,Win32,59.95203837,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0,1920,955,1920,1080,,,,,,,,3,6.812,0.426851852,-0.412962963,1,0,0,next_trial_button,0,4,4,71,1,landscape,visiblesun,yesclouds,8,"666.6666666666666,500",
,,,,,,,gr,gr,gr,m,22,,2021-09-01_14h15.42.756,online_experiment,2021.1.4,Win32,59.95203837,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0,1920,955,1920,1080,,,,,,,,1,2.335,0.483333333,-0.433333333,1,0,0,next_trial_button,0,5,5,5,1,landscape,invisiblesun,yesclouds,0,"750.4690431519699,500",
,,,,,,,gr,gr,gr,m,22,,2021-09-01_14h15.42.756,online_experiment,2021.1.4,Win32,59.95203837,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0,1920,955,1920,1080,,,,,,,,7,7.778,0.384259259,-0.424074074,1,0,0,next_trial_button,0,6,6,2,1,beach,visiblesun,noclouds,0,"375,500",
,,,,,,,gr,gr,gr,m,22,,2021-09-01_14h15.42.756,online_experiment,2021.1.4,Win32,59.95203837,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0,1920,955,1920,1080,,,,,,,,6,5.933,0.414814815,-0.425,1,0,0,next_trial_button,0,7,7,57,1,beach,invisiblesun,yesclouds,7,"749.707488299532,500",
,,,,,,,gr,gr,gr,m,22,,2021-09-01_14h15.42.756,online_experiment,2021.1.4,Win32,59.95203837,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0,1920,955,1920,1080,,,,,,,,2,2.792,0.450925926,-0.421296296,1,0,0,next_trial_button,0,8,8,28,1,landscape,invisiblesun,noclouds,3,"888.8888888888888,500",
