language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
-0.280555556,-0.253703704,1,0,0,4.511,de_flag,de,de,de,m,38,,2021-08-06_12h02.31.601,online_experiment,2021.1.4,Win32,29.9940012,FALSE,,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0,1920,958,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,de,de,de,m,38,,2021-08-06_12h02.31.601,online_experiment,2021.1.4,Win32,29.9940012,FALSE,,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0,1920,958,1920,1080,-0.025,-0.449074074,1,0,0,187.981,start_button,3,3.321,0.382407407,-0.412962963,1,0,0,next_trial_button,0,0,0,67,1,beach,visiblesun,yesclouds,8,"748.1481481481482,500",
,,,,,,,de,de,de,m,38,,2021-08-06_12h02.31.601,online_experiment,2021.1.4,Win32,29.9940012,FALSE,,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0,1920,958,1920,1080,,,,,,,,9,6.51,0.335185185,-0.422222222,1,0,0,next_trial_button,0,1,1,16,1,beach,invisiblesun,noclouds,2,"752.8089887640449,500",
,,,,,,,de,de,de,m,38,,2021-08-06_12h02.31.601,online_experiment,2021.1.4,Win32,29.9940012,FALSE,,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0,1920,958,1920,1080,,,,,,,,1,5.186,0.401851852,-0.400925926,1,0,0,next_trial_button,0,2,2,19,1,beach,visiblesun,yesclouds,2,"770.1393095093882,500",
,,,,,,,de,de,de,m,38,,2021-08-06_12h02.31.601,online_experiment,2021.1.4,Win32,29.9940012,FALSE,,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0,1920,958,1920,1080,,,,,,,,4,6.358,0.402777778,-0.423148148,1,0,0,next_trial_button,0,3,3,25,1,beach,invisiblesun,yesclouds,3,"750.4690431519699,500",
,,,,,,,de,de,de,m,38,,2021-08-06_12h02.31.601,online_experiment,2021.1.4,Win32,29.9940012,FALSE,,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0,1920,958,1920,1080,,,,,,,,7,4.845,0.39537037,-0.423148148,1,0,0,next_trial_button,0,4,4,52,1,landscape,invisiblesun,noclouds,6,"666.6666666666666,500",
,,,,,,,de,de,de,m,38,,2021-08-06_12h02.31.601,online_experiment,2021.1.4,Win32,29.9940012,FALSE,,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0,1920,958,1920,1080,,,,,,,,1,5.916,0.45462963,-0.421296296,1,0,0,next_trial_button,0,5,5,27,1,beach,visiblesun,yesclouds,3,"752.8089887640449,500",
,,,,,,,de,de,de,m,38,,2021-08-06_12h02.31.601,online_experiment,2021.1.4,Win32,29.9940012,FALSE,,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0,1920,958,1920,1080,,,,,,,,3,5.12,0.393518519,-0.421296296,1,0,0,next_trial_button,0,6,6,66,1,beach,visiblesun,noclouds,8,"1028.5714285714284,500",
,,,,,,,de,de,de,m,38,,2021-08-06_12h02.31.601,online_experiment,2021.1.4,Win32,29.9940012,FALSE,,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0,1920,958,1920,1080,,,,,,,,4,10.5,0.385185185,-0.431481481,1,0,0,next_trial_button,0,7,7,63,1,landscape,visiblesun,yesclouds,7,"331.94444444444446,500",
,,,,,,,de,de,de,m,38,,2021-08-06_12h02.31.601,online_experiment,2021.1.4,Win32,29.9940012,FALSE,,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0,1920,958,1920,1080,,,,,,,,5,6.879,0.387962963,-0.406481481,1,0,0,next_trial_button,0,8,8,0,1,beach,invisiblesun,noclouds,0,"750,500",
,,,,,,,de,de,de,m,38,,2021-08-06_12h02.31.601,online_experiment,2021.1.4,Win32,29.9940012,FALSE,,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0,1920,958,1920,1080,,,,,,,,8,7.118,0.323148148,-0.411111111,1,0,0,next_trial_button,0,9,9,22,1,landscape,visiblesun,noclouds,2,"749.3333333333333,500",
,,,,,,,de,de,de,m,38,,2021-08-06_12h02.31.601,online_experiment,2021.1.4,Win32,29.9940012,FALSE,,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0,1920,958,1920,1080,,,,,,,,7,5.991,0.406481481,-0.40462963,1,0,0,next_trial_button,0,10,10,61,1,landscape,invisiblesun,yesclouds,7,"500,500",
,,,,,,,de,de,de,m,38,,2021-08-06_12h02.31.601,online_experiment,2021.1.4,Win32,29.9940012,FALSE,,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0,1920,958,1920,1080,,,,,,,,1,4.851,0.473148148,-0.425925926,1,0,0,next_trial_button,0,11,11,79,1,landscape,visiblesun,yesclouds,9,"1028.5714285714284,500",
,,,,,,,de,de,de,m,38,,2021-08-06_12h02.31.601,online_experiment,2021.1.4,Win32,29.9940012,FALSE,,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0,1920,958,1920,1080,,,,,,,,6,5.275,0.459259259,-0.383333333,1,0,0,next_trial_button,0,12,12,40,1,beach,invisiblesun,noclouds,5,"1028.5714285714284,500",
,,,,,,,de,de,de,m,38,,2021-08-06_12h02.31.601,online_experiment,2021.1.4,Win32,29.9940012,FALSE,,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0,1920,958,1920,1080,,,,,,,,8,3.107,0.346296296,-0.419444444,1,0,0,next_trial_button,0,13,13,41,1,beach,invisiblesun,yesclouds,5,"1248.4394506866417,500",
,,,,,,,de,de,de,m,38,,2021-08-06_12h02.31.601,online_experiment,2021.1.4,Win32,29.9940012,FALSE,,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0,1920,958,1920,1080,,,,,,,,3,4.519,0.356481481,-0.415740741,1,0,0,next_trial_button,0,14,14,33,1,beach,invisiblesun,yesclouds,4,"751.5473032714411,500",
,,,,,,,de,de,de,m,38,,2021-08-06_12h02.31.601,online_experiment,2021.1.4,Win32,29.9940012,FALSE,,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0,1920,958,1920,1080,,,,,,,,4,7.489,0.367592593,-0.417592593,1,0,0,next_trial_button,0,15,15,3,1,beach,visiblesun,yesclouds,0,"1152.5122276567363,500",
,,,,,,,de,de,de,m,38,,2021-08-06_12h02.31.601,online_experiment,2021.1.4,Win32,29.9940012,FALSE,,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0,1920,958,1920,1080,,,,,,,,4,3.092,0.39537037,-0.40462963,1,0,0,next_trial_button,0,16,16,26,1,beach,visiblesun,noclouds,3,"888.8888888888888,500",
