language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.302083333,-0.270833333,1,0,0,1.7201,gr_flag,gr,gr,gr,f,23,,2021-09-02_16h48.56.548,online_experiment,2021.1.4,Win32,59.75857536,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",1366,625,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h48.56.548,online_experiment,2021.1.4,Win32,59.75857536,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",1366,625,1366,768,0,-0.4140625,1,0,0,16.7204,cont_gr,7,4.6146,0.3671875,-0.420572917,1,0,0,next_trial_button,0,0,0,22,1,landscape,visiblesun,noclouds,2,"749.3333333333333,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h48.56.548,online_experiment,2021.1.4,Win32,59.75857536,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",1366,625,1366,768,,,,,,,,6,6.5059,0.428385417,-0.411458333,1,0,0,next_trial_button,0,1,1,61,1,landscape,invisiblesun,yesclouds,7,"500,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h48.56.548,online_experiment,2021.1.4,Win32,59.75857536,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",1366,625,1366,768,,,,,,,,5,6.2141,0.37109375,-0.423177083,1,0,0,next_trial_button,0,2,2,52,1,landscape,invisiblesun,noclouds,6,"666.6666666666666,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h48.56.548,online_experiment,2021.1.4,Win32,59.75857536,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",1366,625,1366,768,,,,,,,,6,36.2507,0.3203125,-0.41015625,1,0,0,next_trial_button,0,3,3,72,1,beach,invisiblesun,noclouds,9,"888.8888888888888,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h48.56.548,online_experiment,2021.1.4,Win32,59.75857536,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",1366,625,1366,768,,,,,,,,6,6.9227,0.376302083,-0.40625,1,0,0,next_trial_button,0,4,4,5,1,landscape,invisiblesun,yesclouds,0,"750.4690431519699,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h48.56.548,online_experiment,2021.1.4,Win32,59.75857536,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",1366,625,1366,768,,,,,,,,9,2.7792,0.32421875,-0.421875,1,0,0,next_trial_button,0,5,5,20,1,landscape,invisiblesun,noclouds,2,"755.192878338279,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h48.56.548,online_experiment,2021.1.4,Win32,59.75857536,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",1366,625,1366,768,,,,,,,,9,2.1271,0.412760417,-0.419270833,1,0,0,next_trial_button,0,6,6,29,1,landscape,invisiblesun,yesclouds,3,"749.8660953401178,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h48.56.548,online_experiment,2021.1.4,Win32,59.75857536,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",1366,625,1366,768,,,,,,,,9,2.3221,0.399739583,-0.415364583,1,0,0,next_trial_button,0,7,7,3,1,beach,visiblesun,yesclouds,0,"1152.5122276567363,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h48.56.548,online_experiment,2021.1.4,Win32,59.75857536,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",1366,625,1366,768,,,,,,,,7,3.6904,0.407552083,-0.40625,1,0,0,next_trial_button,0,8,8,4,1,landscape,invisiblesun,noclouds,0,"1276.9171185127807,500",
