language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
-0.29296875,-0.239583333,1,0,0,3.527,de_flag,de,de,de,m,26,,2021-08-08_15h38.40.521,online_experiment,2021.1.4,Win32,60.0240096,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0,1366,643,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,de,de,de,m,26,,2021-08-08_15h38.40.521,online_experiment,2021.1.4,Win32,60.0240096,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0,1366,643,1366,768,-0.015625,-0.407552083,1,0,0,34.893,cont_gr,10,3.846,0.416666667,-0.391927083,1,0,0,next_trial_button,0,0,0,40,1,beach,invisiblesun,noclouds,5,"1028.5714285714284,500",
,,,,,,,de,de,de,m,26,,2021-08-08_15h38.40.521,online_experiment,2021.1.4,Win32,60.0240096,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0,1366,643,1366,768,,,,,,,,9,2.579,0.40234375,-0.43359375,1,0,0,next_trial_button,0,1,1,54,1,landscape,visiblesun,noclouds,6,"695.0043821209465,500",
,,,,,,,de,de,de,m,26,,2021-08-08_15h38.40.521,online_experiment,2021.1.4,Win32,60.0240096,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0,1366,643,1366,768,,,,,,,,10,2.146,0.328125,-0.41015625,1,0,0,next_trial_button,0,2,2,27,1,beach,visiblesun,yesclouds,3,"752.8089887640449,500",
,,,,,,,de,de,de,m,26,,2021-08-08_15h38.40.521,online_experiment,2021.1.4,Win32,60.0240096,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0,1366,643,1366,768,,,,,,,,6,3.257,0.447916667,-0.423177083,1,0,0,next_trial_button,0,3,3,5,1,landscape,invisiblesun,yesclouds,0,"750.4690431519699,500",
,,,,,,,de,de,de,m,26,,2021-08-08_15h38.40.521,online_experiment,2021.1.4,Win32,60.0240096,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0,1366,643,1366,768,,,,,,,,8,4.553,0.364583333,-0.404947917,1,0,0,next_trial_button,0,4,4,69,1,landscape,invisiblesun,yesclouds,8,"750,500",
,,,,,,,de,de,de,m,26,,2021-08-08_15h38.40.521,online_experiment,2021.1.4,Win32,60.0240096,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0,1366,643,1366,768,,,,,,,,9,6.567,0.436197917,-0.404947917,1,0,0,next_trial_button,0,5,5,13,1,landscape,invisiblesun,yesclouds,1,"783.1192660550458,500",
,,,,,,,de,de,de,m,26,,2021-08-08_15h38.40.521,online_experiment,2021.1.4,Win32,60.0240096,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0,1366,643,1366,768,,,,,,,,10,2.829,0.37890625,-0.404947917,1,0,0,next_trial_button,0,6,6,44,1,landscape,invisiblesun,noclouds,5,"666.6666666666666,500",
,,,,,,,de,de,de,m,26,,2021-08-08_15h38.40.521,online_experiment,2021.1.4,Win32,60.0240096,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0,1366,643,1366,768,,,,,,,,4,2.569,0.49609375,-0.4296875,1,0,0,next_trial_button,0,7,7,79,1,landscape,visiblesun,yesclouds,9,"1028.5714285714284,500",
,,,,,,,de,de,de,m,26,,2021-08-08_15h38.40.521,online_experiment,2021.1.4,Win32,60.0240096,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0,1366,643,1366,768,,,,,,,,2,2.189,0.416666667,-0.388020833,1,0,0,next_trial_button,0,8,8,38,1,landscape,visiblesun,noclouds,4,"733.3333333333333,500",
,,,,,,,de,de,de,m,26,,2021-08-08_15h38.40.521,online_experiment,2021.1.4,Win32,60.0240096,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0,1366,643,1366,768,,,,,,,,10,4.075,0.462239583,-0.421875,1,0,0,next_trial_button,0,9,9,73,1,beach,invisiblesun,yesclouds,9,"1028.5714285714284,500",
,,,,,,,de,de,de,m,26,,2021-08-08_15h38.40.521,online_experiment,2021.1.4,Win32,60.0240096,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0,1366,643,1366,768,,,,,,,,6,2.818,0.485677083,-0.420572917,1,0,0,next_trial_button,0,10,10,36,1,landscape,invisiblesun,noclouds,4,"281.25,500",
,,,,,,,de,de,de,m,26,,2021-08-08_15h38.40.521,online_experiment,2021.1.4,Win32,60.0240096,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0,1366,643,1366,768,,,,,,,,8,221.943,0.388020833,-0.415364583,1,0,0,next_trial_button,0,11,11,75,1,beach,visiblesun,yesclouds,9,"1029.6010296010297,500",
,,,,,,,de,de,de,m,26,,2021-08-08_15h38.40.521,online_experiment,2021.1.4,Win32,60.0240096,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0,1366,643,1366,768,,,,,,,,8,2.574,0.427083333,-0.381510417,1,0,0,next_trial_button,0,12,12,64,1,beach,invisiblesun,noclouds,8,"1028.5714285714284,500",
,,,,,,,de,de,de,m,26,,2021-08-08_15h38.40.521,online_experiment,2021.1.4,Win32,60.0240096,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0,1366,643,1366,768,,,,,,,,8,1.839,0.342447917,-0.41015625,1,0,0,next_trial_button,0,13,13,25,1,beach,invisiblesun,yesclouds,3,"750.4690431519699,500",
,,,,,,,de,de,de,m,26,,2021-08-08_15h38.40.521,online_experiment,2021.1.4,Win32,60.0240096,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0,1366,643,1366,768,,,,,,,,6,1.81,0.369791667,-0.423177083,1,0,0,next_trial_button,0,14,14,35,1,beach,visiblesun,yesclouds,4,"750,500",
,,,,,,,de,de,de,m,26,,2021-08-08_15h38.40.521,online_experiment,2021.1.4,Win32,60.0240096,FALSE,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0,1366,643,1366,768,,,,,,,,3,1.491,0.52734375,-0.384114583,1,0,0,next_trial_button,0,15,15,30,1,landscape,visiblesun,noclouds,3,"346.3035019455253,500",
