language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,fbclid,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.364583333,-0.2421875,1,0,0,5.5783,gr_flag,gr,gr,gr,m,22,,2021-07-08_22h00.22.746,online_experiment,2021.1.4,Win32,59.99880002,IwAR3Eu8TmF6HZAC1-eT28gsAfPwWf2wlBRnoCXsdaDxeg_IR44C3Ra9Zh6dA,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",1366,625,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,m,22,,2021-07-08_22h00.22.746,online_experiment,2021.1.4,Win32,59.99880002,IwAR3Eu8TmF6HZAC1-eT28gsAfPwWf2wlBRnoCXsdaDxeg_IR44C3Ra9Zh6dA,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",1366,625,1366,768,-0.022135417,-0.41796875,1,0,0,15.838,cont_gr,2,13.5053,0.444010417,-0.419270833,1,0,0,next_trial_button,0,0,0,48,1,beach,invisiblesun,noclouds,6,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,m,22,,2021-07-08_22h00.22.746,online_experiment,2021.1.4,Win32,59.99880002,IwAR3Eu8TmF6HZAC1-eT28gsAfPwWf2wlBRnoCXsdaDxeg_IR44C3Ra9Zh6dA,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",1366,625,1366,768,,,,,,,,2,6.9431,0.483072917,-0.412760417,1,0,0,next_trial_button,0,1,1,15,1,landscape,visiblesun,yesclouds,1,"333.3333333333333,500",
,,,,,,,gr,gr,gr,m,22,,2021-07-08_22h00.22.746,online_experiment,2021.1.4,Win32,59.99880002,IwAR3Eu8TmF6HZAC1-eT28gsAfPwWf2wlBRnoCXsdaDxeg_IR44C3Ra9Zh6dA,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",1366,625,1366,768,,,,,,,,5,4.1064,0.423177083,-0.415364583,1,0,0,next_trial_button,0,2,2,11,1,beach,visiblesun,yesclouds,1,"989.8132427843803,500",
,,,,,,,gr,gr,gr,m,22,,2021-07-08_22h00.22.746,online_experiment,2021.1.4,Win32,59.99880002,IwAR3Eu8TmF6HZAC1-eT28gsAfPwWf2wlBRnoCXsdaDxeg_IR44C3Ra9Zh6dA,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",1366,625,1366,768,,,,,,,,7,4.7707,0.46484375,-0.415364583,1,0,0,next_trial_button,0,3,3,51,1,beach,visiblesun,yesclouds,6,"657.1279916753382,500",
,,,,,,,gr,gr,gr,m,22,,2021-07-08_22h00.22.746,online_experiment,2021.1.4,Win32,59.99880002,IwAR3Eu8TmF6HZAC1-eT28gsAfPwWf2wlBRnoCXsdaDxeg_IR44C3Ra9Zh6dA,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",1366,625,1366,768,,,,,,,,1,4.8393,0.412760417,-0.419270833,1,0,0,next_trial_button,0,4,4,78,1,landscape,visiblesun,noclouds,9,"666.6666666666666,500",
,,,,,,,gr,gr,gr,m,22,,2021-07-08_22h00.22.746,online_experiment,2021.1.4,Win32,59.99880002,IwAR3Eu8TmF6HZAC1-eT28gsAfPwWf2wlBRnoCXsdaDxeg_IR44C3Ra9Zh6dA,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",1366,625,1366,768,,,,,,,,8,4.8259,0.41796875,-0.421875,1,0,0,next_trial_button,0,5,5,65,1,beach,invisiblesun,yesclouds,8,"750,500",
,,,,,,,gr,gr,gr,m,22,,2021-07-08_22h00.22.746,online_experiment,2021.1.4,Win32,59.99880002,IwAR3Eu8TmF6HZAC1-eT28gsAfPwWf2wlBRnoCXsdaDxeg_IR44C3Ra9Zh6dA,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",1366,625,1366,768,,,,,,,,3,3.4628,0.430989583,-0.4375,1,0,0,next_trial_button,0,6,6,44,1,landscape,invisiblesun,noclouds,5,"666.6666666666666,500",
,,,,,,,gr,gr,gr,m,22,,2021-07-08_22h00.22.746,online_experiment,2021.1.4,Win32,59.99880002,IwAR3Eu8TmF6HZAC1-eT28gsAfPwWf2wlBRnoCXsdaDxeg_IR44C3Ra9Zh6dA,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",1366,625,1366,768,,,,,,,,1,3.0887,0.4609375,-0.421875,1,0,0,next_trial_button,0,7,7,70,1,landscape,visiblesun,noclouds,8,"666.6666666666666,500",
,,,,,,,gr,gr,gr,m,22,,2021-07-08_22h00.22.746,online_experiment,2021.1.4,Win32,59.99880002,IwAR3Eu8TmF6HZAC1-eT28gsAfPwWf2wlBRnoCXsdaDxeg_IR44C3Ra9Zh6dA,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",1366,625,1366,768,,,,,,,,7,4.4504,0.45703125,-0.41015625,1,0,0,next_trial_button,0,8,8,75,1,beach,visiblesun,yesclouds,9,"1029.6010296010297,500",
