language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,fbclid,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.329629648,-0.239814826,1,0,0,2.4666,gr_flag,gr,gr,gr,f,26,,2021-09-01_11h00.52.738,online_experiment,2021.1.4,Win32,59.98080614,IwAR1_L1of-nNd-Qb-a1aoUE6JA2yppRi-oh_kxMyQn2WtY2o0PyVJUQ2-sNA,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,722,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,f,26,,2021-09-01_11h00.52.738,online_experiment,2021.1.4,Win32,59.98080614,IwAR1_L1of-nNd-Qb-a1aoUE6JA2yppRi-oh_kxMyQn2WtY2o0PyVJUQ2-sNA,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,722,1536,864,0.069444459,-0.428703718,1,0,0,22.4346,cont_gr,4,8.6415,0.409259279,-0.414814828,1,0,0,next_trial_button,0,0,0,17,1,beach,invisiblesun,yesclouds,2,"684.8635235732011,500",
,,,,,,,gr,gr,gr,f,26,,2021-09-01_11h00.52.738,online_experiment,2021.1.4,Win32,59.98080614,IwAR1_L1of-nNd-Qb-a1aoUE6JA2yppRi-oh_kxMyQn2WtY2o0PyVJUQ2-sNA,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,722,1536,864,,,,,,,,4,2.2741,0.415740873,-0.423148218,1,0,0,next_trial_button,0,1,1,71,1,landscape,visiblesun,yesclouds,8,"666.6666666666666,500",
,,,,,,,gr,gr,gr,f,26,,2021-09-01_11h00.52.738,online_experiment,2021.1.4,Win32,59.98080614,IwAR1_L1of-nNd-Qb-a1aoUE6JA2yppRi-oh_kxMyQn2WtY2o0PyVJUQ2-sNA,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,722,1536,864,,,,,,,,4,3.6976,0.462962983,-0.402777791,1,0,0,next_trial_button,0,2,2,61,1,landscape,invisiblesun,yesclouds,7,"500,500",
,,,,,,,gr,gr,gr,f,26,,2021-09-01_11h00.52.738,online_experiment,2021.1.4,Win32,59.98080614,IwAR1_L1of-nNd-Qb-a1aoUE6JA2yppRi-oh_kxMyQn2WtY2o0PyVJUQ2-sNA,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,722,1536,864,,,,,,,,7,3.602,0.389814834,-0.39537044,1,0,0,next_trial_button,0,3,3,76,1,landscape,invisiblesun,noclouds,9,"1056.6037735849056,500",
,,,,,,,gr,gr,gr,f,26,,2021-09-01_11h00.52.738,online_experiment,2021.1.4,Win32,59.98080614,IwAR1_L1of-nNd-Qb-a1aoUE6JA2yppRi-oh_kxMyQn2WtY2o0PyVJUQ2-sNA,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,722,1536,864,,,,,,,,8,3.8699,0.475926059,-0.432407478,1,0,0,next_trial_button,0,4,4,56,1,beach,invisiblesun,noclouds,7,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,f,26,,2021-09-01_11h00.52.738,online_experiment,2021.1.4,Win32,59.98080614,IwAR1_L1of-nNd-Qb-a1aoUE6JA2yppRi-oh_kxMyQn2WtY2o0PyVJUQ2-sNA,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,722,1536,864,,,,,,,,6,7.0623,0.404629649,-0.39537044,1,0,0,next_trial_button,0,5,5,48,1,beach,invisiblesun,noclouds,6,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,f,26,,2021-09-01_11h00.52.738,online_experiment,2021.1.4,Win32,59.98080614,IwAR1_L1of-nNd-Qb-a1aoUE6JA2yppRi-oh_kxMyQn2WtY2o0PyVJUQ2-sNA,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,722,1536,864,,,,,,,,7,6.1694,0.377777797,-0.413888959,1,0,0,next_trial_button,0,6,6,36,1,landscape,invisiblesun,noclouds,4,"281.25,500",
,,,,,,,gr,gr,gr,f,26,,2021-09-01_11h00.52.738,online_experiment,2021.1.4,Win32,59.98080614,IwAR1_L1of-nNd-Qb-a1aoUE6JA2yppRi-oh_kxMyQn2WtY2o0PyVJUQ2-sNA,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,722,1536,864,,,,,,,,9,4.8848,0.415740873,-0.411111125,1,0,0,next_trial_button,0,7,7,37,1,landscape,invisiblesun,yesclouds,4,"669.4214876033058,500",
,,,,,,,gr,gr,gr,f,26,,2021-09-01_11h00.52.738,online_experiment,2021.1.4,Win32,59.98080614,IwAR1_L1of-nNd-Qb-a1aoUE6JA2yppRi-oh_kxMyQn2WtY2o0PyVJUQ2-sNA,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,722,1536,864,,,,,,,,7,6.9622,0.481481502,-0.411111125,1,0,0,next_trial_button,0,8,8,64,1,beach,invisiblesun,noclouds,8,"1028.5714285714284,500",
