language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.302777796,-0.255555567,1,0,0,1.1869,gr_flag,gr,gr,gr,m,22,,2021-09-01_12h39.14.698,online_experiment,2021.1.4,Win32,143.9884809,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,722,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,m,22,,2021-09-01_12h39.14.698,online_experiment,2021.1.4,Win32,143.9884809,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,722,1536,864,0.01203705,-0.35740742,1,0,0,15.0074,start_button,7,18.3228,0.420370503,-0.415740754,1,0,0,next_trial_button,0,0,0,49,1,beach,invisiblesun,yesclouds,6,"858.4474885844749,500",
,,,,,,,gr,gr,gr,m,22,,2021-09-01_12h39.14.698,online_experiment,2021.1.4,Win32,143.9884809,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,722,1536,864,,,,,,,,6,5.4349,0.377777797,-0.414814828,1,0,0,next_trial_button,0,1,1,58,1,beach,visiblesun,noclouds,7,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,m,22,,2021-09-01_12h39.14.698,online_experiment,2021.1.4,Win32,143.9884809,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,722,1536,864,,,,,,,,5,3.0062,0.462962983,-0.422222236,1,0,0,next_trial_button,0,2,2,7,1,landscape,visiblesun,yesclouds,0,"743.421052631579,500",
,,,,,,,gr,gr,gr,m,22,,2021-09-01_12h39.14.698,online_experiment,2021.1.4,Win32,143.9884809,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,722,1536,864,,,,,,,,7,5.3307,0.410185205,-0.420370384,1,0,0,next_trial_button,0,3,3,20,1,landscape,invisiblesun,noclouds,2,"755.192878338279,500",
,,,,,,,gr,gr,gr,m,22,,2021-09-01_12h39.14.698,online_experiment,2021.1.4,Win32,143.9884809,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,722,1536,864,,,,,,,,6,2.3358,0.422222242,-0.420370384,1,0,0,next_trial_button,0,4,4,6,1,landscape,visiblesun,noclouds,0,"1413.8005159071367,500",
,,,,,,,gr,gr,gr,m,22,,2021-09-01_12h39.14.698,online_experiment,2021.1.4,Win32,143.9884809,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,722,1536,864,,,,,,,,6,2.4862,0.320370388,-0.415740754,1,0,0,next_trial_button,0,5,5,1,1,beach,invisiblesun,yesclouds,0,"666.6666666666666,500",
,,,,,,,gr,gr,gr,m,22,,2021-09-01_12h39.14.698,online_experiment,2021.1.4,Win32,143.9884809,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,722,1536,864,,,,,,,,7,2.7022,0.401851984,-0.407407421,1,0,0,next_trial_button,0,6,6,9,1,beach,invisiblesun,yesclouds,1,"750,500",
,,,,,,,gr,gr,gr,m,22,,2021-09-01_12h39.14.698,online_experiment,2021.1.4,Win32,143.9884809,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,722,1536,864,,,,,,,,7,2.4651,0.373148167,-0.415740754,1,0,0,next_trial_button,0,7,7,56,1,beach,invisiblesun,noclouds,7,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,m,22,,2021-09-01_12h39.14.698,online_experiment,2021.1.4,Win32,143.9884809,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,722,1536,864,,,,,,,,7,6.721,0.343518537,-0.436111125,1,0,0,next_trial_button,0,8,8,54,1,landscape,visiblesun,noclouds,6,"695.0043821209465,500",
