language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,fbclid,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.300000131,-0.225000011,1,0,0,3.7693,gr_flag,gr,gr,gr,m,21,,2021-08-31_16h54.29.197,online_experiment,2021.1.4,Win32,59.99520038,IwAR1pIxIlc8nMXkrpY3aNVKbh-Ei6xdFU3RvIwr2kgEn2F85Cazi0R9F1fVo,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,754,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,m,21,,2021-08-31_16h54.29.197,online_experiment,2021.1.4,Win32,59.99520038,IwAR1pIxIlc8nMXkrpY3aNVKbh-Ei6xdFU3RvIwr2kgEn2F85Cazi0R9F1fVo,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,754,1536,864,0.071296311,-0.426851866,1,0,0,14.186,cont_gr,7,7.8538,0.365740759,-0.419444458,1,0,0,next_trial_button,0,0,0,43,1,beach,visiblesun,yesclouds,5,"750,500",
,,,,,,,gr,gr,gr,m,21,,2021-08-31_16h54.29.197,online_experiment,2021.1.4,Win32,59.99520038,IwAR1pIxIlc8nMXkrpY3aNVKbh-Ei6xdFU3RvIwr2kgEn2F85Cazi0R9F1fVo,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,754,1536,864,,,,,,,,9,2.9064,0.339814833,-0.410185199,1,0,0,next_trial_button,0,1,1,3,1,beach,visiblesun,yesclouds,0,"1152.5122276567363,500",
,,,,,,,gr,gr,gr,m,21,,2021-08-31_16h54.29.197,online_experiment,2021.1.4,Win32,59.99520038,IwAR1pIxIlc8nMXkrpY3aNVKbh-Ei6xdFU3RvIwr2kgEn2F85Cazi0R9F1fVo,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,754,1536,864,,,,,,,,7,3.1263,0.343518537,-0.411111125,1,0,0,next_trial_button,0,2,2,15,1,landscape,visiblesun,yesclouds,1,"333.3333333333333,500",
,,,,,,,gr,gr,gr,m,21,,2021-08-31_16h54.29.197,online_experiment,2021.1.4,Win32,59.99520038,IwAR1pIxIlc8nMXkrpY3aNVKbh-Ei6xdFU3RvIwr2kgEn2F85Cazi0R9F1fVo,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,754,1536,864,,,,,,,,6,2.9206,0.343518537,-0.408333347,1,0,0,next_trial_button,0,3,3,31,1,landscape,visiblesun,yesclouds,3,"638.0622837370242,500",
,,,,,,,gr,gr,gr,m,21,,2021-08-31_16h54.29.197,online_experiment,2021.1.4,Win32,59.99520038,IwAR1pIxIlc8nMXkrpY3aNVKbh-Ei6xdFU3RvIwr2kgEn2F85Cazi0R9F1fVo,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,754,1536,864,,,,,,,,9,2.7879,0.328703722,-0.392592606,1,0,0,next_trial_button,0,4,4,9,1,beach,invisiblesun,yesclouds,1,"750,500",
,,,,,,,gr,gr,gr,m,21,,2021-08-31_16h54.29.197,online_experiment,2021.1.4,Win32,59.99520038,IwAR1pIxIlc8nMXkrpY3aNVKbh-Ei6xdFU3RvIwr2kgEn2F85Cazi0R9F1fVo,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,754,1536,864,,,,,,,,4,2.9054,0.327777909,-0.385185198,1,0,0,next_trial_button,0,5,5,78,1,landscape,visiblesun,noclouds,9,"666.6666666666666,500",
,,,,,,,gr,gr,gr,m,21,,2021-08-31_16h54.29.197,online_experiment,2021.1.4,Win32,59.99520038,IwAR1pIxIlc8nMXkrpY3aNVKbh-Ei6xdFU3RvIwr2kgEn2F85Cazi0R9F1fVo,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,754,1536,864,,,,,,,,5,2.2529,0.334259277,-0.397222236,1,0,0,next_trial_button,0,6,6,36,1,landscape,invisiblesun,noclouds,4,"281.25,500",
,,,,,,,gr,gr,gr,m,21,,2021-08-31_16h54.29.197,online_experiment,2021.1.4,Win32,59.99520038,IwAR1pIxIlc8nMXkrpY3aNVKbh-Ei6xdFU3RvIwr2kgEn2F85Cazi0R9F1fVo,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,754,1536,864,,,,,,,,8,2.0005,0.364814947,-0.39629631,1,0,0,next_trial_button,0,7,7,24,1,beach,invisiblesun,noclouds,3,"750.089190153407,500",
,,,,,,,gr,gr,gr,m,21,,2021-08-31_16h54.29.197,online_experiment,2021.1.4,Win32,59.99520038,IwAR1pIxIlc8nMXkrpY3aNVKbh-Ei6xdFU3RvIwr2kgEn2F85Cazi0R9F1fVo,FALSE,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1536,754,1536,864,,,,,,,,8,3.191,0.370370389,-0.408333347,1,0,0,next_trial_button,0,8,8,11,1,beach,visiblesun,yesclouds,1,"989.8132427843803,500",
